wl,D01.1,D01.2,D01.3,D02.1,D02.2,D02.3,D02.4,D03.1,D03.2,D03.3,D04.1,D04.2,D04.3,D05.1,D05.2,D05.3,D06.1,D06.2,D06.3,D07.1,D07.2,D07.3,D08.1,D08.2,D08.3,D08.4,D09.1,D09.2,D09.3,D09.4,D10.1,D10.2,D10.3,D10.4,D11.1,D11.2,D11.3,D11.4,D11.5,D12.1,D12.2,D12.3,D12.4,D13.1,D13.2,D13.3,D13.4
657,34.33145835,86.55420835,29.34123334,25.28544167,27.37074167,36.9835,45.52665,65.73131665,84.36746665,32.100475,13.187525,8.918033335,22.089325,24.58593334,21.75198334,86.5208,79.497575,52.09868334,67.114375,9.346325,21.89636667,80.01745,19.90280834,21.577225,10.55904167,17.06089167,17.6816,22.5217,31.65330834,64.99059167,80.86848335,41.19730834,80.08798335,70.47481667,68.69420834,85.67141665,23.84424167,45.71955,22.62934167,31.411975,6.707708335,54.63799167,81.59565835,73.58255835,21.24321667,11.90776667,68.445325
658,34.51,86.638,29.4508,25.4388,27.5444,37.142,45.6708,65.7968,84.4316,32.2372,13.3288,9.0444,22.2324,24.7352,21.8648,86.6016,79.5764,52.2232,67.22,9.4564,21.9744,80.1024,20.0252,21.7232,10.656,17.1872,17.8232,22.6684,31.7812,65.1016,80.9628,41.3192,80.1468,70.5388,68.748,85.732,23.9764,45.8416,22.7816,31.5252,6.84,54.7364,81.6684,73.6872,21.3756,11.9872,68.5244
659,34.7174,86.7286,29.57,25.5936,27.7304,37.319,45.8248,65.8622,84.5012,32.3768,13.4744,9.1658,22.3696,24.8822,21.9882,86.6674,79.646,52.3318,67.3154,9.5728,22.048,80.1732,20.1522,21.8594,10.7508,17.3208,17.9692,22.8228,31.9082,65.2154,81.0548,41.4268,80.1824,70.5852,68.778,85.786,24.1008,45.9658,22.9342,31.6368,6.9696,54.8186,81.7524,73.7772,21.507,12.0648,68.5998
660,34.9248,86.8192,29.6892,25.7484,27.9164,37.496,45.9788,65.9276,84.5708,32.5164,13.62,9.2872,22.5068,25.0292,22.1116,86.7332,79.7156,52.4404,67.4108,9.6892,22.1216,80.244,20.2792,21.9956,10.8456,17.4544,18.1152,22.9772,32.0352,65.3292,81.1468,41.5344,80.218,70.6316,68.808,85.84,24.2252,46.09,23.0868,31.7484,7.0992,54.9008,81.8364,73.8672,21.6384,12.1424,68.6752
661,35.1054,86.8642,29.802,25.8804,28.0876,37.6416,46.1086,65.9808,84.637,32.631,13.748,9.3992,22.624,25.138,22.2132,86.7556,79.764,52.5286,67.47,9.7974,22.1776,80.2772,20.3892,22.1006,10.9212,17.5656,18.237,23.118,32.1368,65.413,81.2132,41.628,80.2368,70.6676,68.8246,85.8702,24.319,46.194,23.2212,31.8394,7.2166,54.969,81.8918,73.9134,21.7344,12.2096,68.7186
662,35.286,86.9092,29.9148,26.0124,28.2588,37.7872,46.2384,66.034,84.7032,32.7456,13.876,9.5112,22.7412,25.2468,22.3148,86.778,79.8124,52.6168,67.5292,9.9056,22.2336,80.3104,20.4992,22.2056,10.9968,17.6768,18.3588,23.2588,32.2384,65.4968,81.2796,41.7216,80.2556,70.7036,68.8412,85.9004,24.4128,46.298,23.3556,31.9304,7.334,55.0372,81.9472,73.9596,21.8304,12.2768,68.762
663,35.41945835,86.92085,30.00219167,26.12140834,28.39544167,37.88276667,46.35065834,66.06033335,84.76014165,32.83509167,13.969875,9.597058335,22.79768334,25.31715,22.38573334,86.79733335,79.82515834,52.69465,67.563975,9.983216665,22.28096667,80.31686665,20.57668334,22.28050834,11.04465,17.76506667,18.43898334,23.36835834,32.31336667,65.55465,81.32250835,41.79475834,80.26988335,70.73784167,68.85435,85.919575,24.47848334,46.37441667,23.45175834,31.9902,7.417833335,55.09318334,81.98505835,73.97500835,21.89540834,12.33319167,68.76495835
664,35.5529167,86.9325,30.08958333,26.23041667,28.53208333,37.97833333,46.46291667,66.0866667,84.8170833,32.92458333,14.06375,9.68291667,22.85416667,25.3875,22.45666667,86.8166667,79.83791667,52.7725,67.59875,10.06083333,22.32833333,80.3233333,20.65416667,22.35541667,11.0925,17.85333333,18.51916667,23.47791667,32.38833333,65.6125,81.3654167,41.86791667,80.2841667,70.77208333,68.8675,85.93875,24.54416667,46.45083333,23.54791667,32.05,7.50166667,55.14916667,82.0229167,73.9904167,21.96041667,12.38958333,68.7679167
665,35.680625,86.9375,30.15791667,26.329375,28.64770833,38.04708333,46.55541667,66.09520835,84.8652083,32.989375,14.133125,9.735833335,22.863125,25.44395834,22.50854167,86.8304167,79.81895834,52.82791667,67.623125,10.12895833,22.35875,80.3070833,20.71416667,22.40833334,11.12645834,17.93104167,18.58375,23.55791667,32.44708333,65.65395835,81.384375,41.914375,80.2916667,70.796875,68.87125,85.95479165,24.59604167,46.50625,23.61458334,32.08729167,7.556458335,55.19333334,82.0525,73.986875,22.01145834,12.43854167,68.7554167
666,35.8083333,86.9425,30.22625,26.42833333,28.76333333,38.11583333,46.64791667,66.10375,84.9133333,33.05416667,14.2025,9.78875,22.87208333,25.50041667,22.56041667,86.8441667,79.8,52.88333333,67.6475,10.19708333,22.38916667,80.2908333,20.77416667,22.46125,11.16041667,18.00875,18.64833333,23.63791667,32.50583333,65.6954167,81.4033333,41.96083333,80.2991667,70.82166667,68.875,85.9708333,24.64791667,46.56166667,23.68125,32.12458333,7.61125,55.2375,82.0820833,73.9833333,22.0625,12.4875,68.7429167
667,35.9145833,86.94708335,30.266875,26.50416667,28.84833333,38.16208333,46.68291667,66.12541665,84.94104165,33.086875,14.25125,9.814166665,22.885,25.543125,22.608125,86.825625,79.78875,52.910625,67.663125,10.25875,22.401875,80.293125,20.81625,22.49083334,11.18666667,18.06833334,18.68395833,23.67625,32.539375,65.716875,81.40125,41.99020833,80.3091667,70.84875,68.87166667,85.9825,24.68645834,46.59875,23.72104167,32.153125,7.650625,55.25979167,82.08041665,73.97541665,22.10916667,12.52229167,68.7522917
668,36.0208333,86.9516667,30.3075,26.58,28.93333333,38.20833333,46.71791667,66.1470833,84.96875,33.11958333,14.3,9.83958333,22.89791667,25.58583333,22.65583333,86.8070833,79.7775,52.93791667,67.67875,10.32041667,22.41458333,80.2954167,20.85833333,22.52041667,11.21291667,18.12791667,18.71958333,23.71458333,32.57291667,65.7383333,81.3991667,42.01958333,80.3191667,70.87583333,68.86833333,85.9941667,24.725,46.63583333,23.76083333,32.18166667,7.69,55.28208333,82.07875,73.9675,22.15583333,12.55708333,68.7616667
669,36.08625,86.9610417,30.32229167,26.64708334,28.979375,38.24270833,46.72729167,66.1608333,84.99395835,33.14041667,14.33645834,9.856041665,22.92083334,25.63104167,22.68708333,86.80229165,79.794375,52.963125,67.710625,10.36791667,22.43270833,80.320625,20.89166667,22.54208334,11.23854167,18.17270834,18.72833333,23.74833333,32.589375,65.75354165,81.4129167,42.050625,80.34895835,70.90645833,68.88770833,86.02125,24.74583334,46.65520833,23.79291667,32.2175,7.723333335,55.30479167,82.07354165,73.96895835,22.18458333,12.58833333,68.7922917
670,36.1516667,86.9704167,30.33708333,26.71416667,29.02541667,38.27708333,46.73666667,66.1745833,85.0191667,33.16125,14.37291667,9.8725,22.94375,25.67625,22.71833333,86.7975,79.81125,52.98833333,67.7425,10.41541667,22.45083333,80.3458333,20.925,22.56375,11.26416667,18.2175,18.73708333,23.78208333,32.60583333,65.76875,81.4266667,42.08166667,80.37875,70.93708333,68.90708333,86.0483333,24.76666667,46.67458333,23.825,32.25333333,7.75666667,55.3275,82.0683333,73.9704167,22.21333333,12.61958333,68.8229167
671,36.18125,86.9841667,30.33541667,26.76104167,29.03625,38.291875,46.72604167,66.1789583,85.03208335,33.16541667,14.38979167,9.874791665,22.95458334,25.71,22.72333333,86.82395835,79.83104167,53.01291667,67.783125,10.43583334,22.46708333,80.37729165,20.953125,22.5775,11.28041667,18.2475,18.72395833,23.78958333,32.60875,65.78541665,81.44375,42.1125,80.40625,70.974375,68.916875,86.0733333,24.77854167,46.66729167,23.83708334,32.27979167,7.770208335,55.349375,82.06791665,73.985,22.23041667,12.6475,68.85875
672,36.2108333,86.9979167,30.33375,26.80791667,29.04708333,38.30666667,46.71541667,66.1833333,85.045,33.16958333,14.40666667,9.87708333,22.96541667,25.74375,22.72833333,86.8504167,79.85083333,53.0375,67.82375,10.45625,22.48333333,80.40875,20.98125,22.59125,11.29666667,18.2775,18.71083333,23.79708333,32.61166667,65.8020833,81.4608333,42.14333333,80.43375,71.01166667,68.92666667,86.0983333,24.79041667,46.66,23.84916667,32.30625,7.78375,55.37125,82.0675,73.9995833,22.2475,12.67541667,68.8945833
673,36.23181665,87.01755835,30.333275,26.81935834,29.05994167,38.30693334,46.67230834,66.19306665,85.0483,33.17019167,14.40893334,9.859741665,22.97530834,25.765275,22.72296667,86.87580835,79.86661667,53.05035,67.853875,10.463325,22.49366667,80.437575,21.004025,22.593425,11.31333334,18.27495,18.69141667,23.79474167,32.60603334,65.81164165,81.48341665,42.15066667,80.451675,71.04303334,68.91633334,86.11336665,24.79120834,46.6364,23.85078334,32.302725,7.791675,55.375425,82.07635,74.01179165,22.24975,12.70190834,68.93249165
674,36.2528,87.0372,30.3328,26.8308,29.0728,38.3072,46.6292,66.2028,85.0516,33.1708,14.4112,9.8424,22.9852,25.7868,22.7176,86.9012,79.8824,53.0632,67.884,10.4704,22.504,80.4664,21.0268,22.5956,11.33,18.2724,18.672,23.7924,32.6004,65.8212,81.506,42.158,80.4696,71.0744,68.906,86.1284,24.792,46.6128,23.8524,32.2992,7.7996,55.3796,82.0852,74.024,22.252,12.7284,68.9704
675,36.2506,87.0664,30.3294,26.819,29.0706,38.2894,46.5692,66.2352,85.0438,33.167,14.4076,9.8378,22.9998,25.8162,22.7274,86.9116,79.9004,53.069,67.9024,10.4708,22.5178,80.495,21.058,22.5912,11.3532,18.2596,18.6544,23.7932,32.586,65.825,81.5466,42.155,80.5022,71.096,68.8946,86.1356,24.7798,46.5818,23.8544,32.2738,7.8104,55.3726,82.1102,74.042,22.244,12.753,69.0306
